age,ova,pot,growth,total_stats,base_stats,composure,stamina,strength,power,reactions
33.0,69,-0.6096110135916243,8.31319751992914,7.564757012905729,6.0112671744041615,61.0,4.23410650459726,4.219507705176107,5.849324779946859,4.23410650459726
37.0,71,-0.25924232813814596,8.31319751992914,7.552762084214147,5.953243334287785,79.0,4.1588830833596715,4.0943445622221,5.780743515792329,4.174387269895637
33.0,71,-0.25924232813814596,8.31319751992914,7.478734825567875,5.869296913133774,61.0,3.367295829986474,4.02535169073515,5.648974238161206,4.07753744390572
36.0,81,1.4926010991292458,8.31319751992914,7.607878073278507,6.040254711277414,89.0,4.060443010546419,4.127134385045092,5.6937321388027,4.31748811353631
27.0,66,-0.4344266708648851,4.0,7.407924322559599,5.886104031450156,61.0,4.1588830833596715,4.110873864173311,5.752572638825633,4.174387269895637
38.0,77,0.791863728222289,8.31319751992914,7.6093665379542115,5.998936561946683,80.0,3.9318256327243257,4.1588830833596715,5.8289456176102075,4.248495242049359
39.0,78,0.9670480709490282,8.31319751992914,7.569927655242652,5.971261839790462,61.0,3.871201010907891,4.110873864173311,5.736572297479192,4.330733340286331
37.0,80,1.3174167564025066,8.31319751992914,7.632885505395133,6.028278520230698,61.0,3.5263605246161616,4.143134726391533,5.808142489980444,4.406719247264253
35.0,74,0.2663107000420716,8.31319751992914,7.532623618788788,5.942799375126701,61.0,4.110873864173311,4.330733340286331,5.855071922202427,4.418840607796598
37.0,78,0.9670480709490282,8.31319751992914,7.60688453121963,6.018593214496234,61.0,4.394449154672439,4.248495242049359,5.918893854273146,4.382026634673881
35.0,80,1.3174167564025066,8.31319751992914,7.587817219993427,6.008813185442595,86.0,4.276666119016055,4.219507705176107,5.8944028342648505,4.418840607796598
39.0,69,-0.6096110135916243,8.31319751992914,6.988413181999592,5.921578419643816,61.0,3.5263605246161616,4.204692619390966,5.342334251964811,4.189654742026425
38.0,79,1.1422324136757673,8.31319751992914,7.699389406256737,6.118097198041348,61.0,4.0943445622221,4.430816798843313,5.998936561946683,4.343805421853684
39.0,75,0.44149504276881074,8.31319751992914,7.535830462798367,5.993961427306569,61.0,4.007333185232471,4.343805421853684,5.641907070938114,4.382026634673881
38.0,70,-0.4344266708648851,8.31319751992914,7.427738840532894,5.7745515455444085,61.0,3.4011973816621555,3.5263605246161616,5.501258210544727,4.382026634673881
37.0,73,0.09112635731533239,8.31319751992914,7.344719054149673,5.7745515455444085,61.0,3.4965075614664802,4.30406509320417,5.572154032177765,4.248495242049359
37.0,73,0.09112635731533239,8.31319751992914,7.317876198626496,5.652489180268651,61.0,3.4339872044851463,3.4011973816621555,5.459585514144159,4.477336814478207
37.0,75,0.44149504276881074,8.31319751992914,7.05617528410041,6.008813185442595,61.0,3.5263605246161616,4.189654742026425,5.356586274672012,4.23410650459726
39.0,80,1.3174167564025066,8.31319751992914,7.534762657037537,5.934894195619588,85.0,3.9889840465642745,4.31748811353631,5.820082930352362,4.3694478524670215
37.0,82,1.667785441855985,8.31319751992914,7.638679823876112,6.063785208687608,61.0,4.276666119016055,4.382026634673881,5.978885764901122,4.343805421853684
36.0,79,1.1422324136757673,8.31319751992914,7.540090320145325,5.973809611869261,61.0,3.9889840465642745,4.1588830833596715,5.808142489980444,4.394449154672439
34.0,69,-0.6096110135916243,8.31319751992914,7.533693709848633,5.953243334287785,61.0,4.30406509320417,4.189654742026425,5.8377304471659395,4.290459441148391
37.0,72,-0.08405798541140677,8.31319751992914,7.047517221357296,5.961005339623274,59.0,3.295836866004329,4.343805421853684,5.4116460518550396,4.23410650459726
36.0,75,0.44149504276881074,8.31319751992914,6.964135612418245,5.929589143389895,62.0,3.332204510175204,4.330733340286331,5.342334251964811,4.30406509320417
37.0,66,-1.1351640417718418,8.31319751992914,7.425953657077541,5.857933154483459,61.0,3.4965075614664802,4.499809670330265,5.796057750765372,4.127134385045092
33.0,76,0.6166793854955499,8.31319751992914,7.655864017616056,6.091309882077698,75.0,4.31748811353631,4.343805421853684,5.991464547107982,4.290459441148391
40.0,73,0.09112635731533239,8.31319751992914,7.109062135687172,5.993961427306569,67.0,3.367295829986474,4.04305126783455,5.3612921657094255,4.30406509320417
36.0,63,-1.6607170699520593,8.31319751992914,7.487733761436444,5.8944028342648505,61.0,3.9889840465642745,4.30406509320417,5.7745515455444085,4.330733340286331
32.0,76,0.6166793854955499,8.31319751992914,7.560080465021827,5.978885764901122,61.0,3.9512437185814275,4.276666119016055,5.855071922202427,4.356708826689592
